,Overall
emark,21.38570114
yelp.votes.cool,20.50238662
wcount,16.85421077
review_count.x,14.80476052
qmark,13.30577553
yelp.votes.useful,13.13359193
yelp.votes.funny,9.485907009
review_count.y,1.882485693
cuisine.Fast.Food,1.147850598
cool,1.101522136
city.Tempe,1.049147228
useful,0.935787977
cuisine.Breakfast,0.922894392
city.Peoria,0.856197941
cuisine.Chinese,0.801940962
city.Mesa,0.796427903
cuisine.Mexican,0.764880636
cuisine.Korean,0.743590104
cuisine.SouthAsia,0.684568513
cuisine.Japanese,0.678033379
funny,0.655532238
cuisine.Fusion,0.653351587
cuisine.American,0.636162577
cuisine.Nightlife,0.6112202
cuisine.Thai,0.600923631
cuisine.Italian,0.600555947
cuisine.Vietnamese,0.576383935
cuisine.Snacks,0.552427829
cuisine.Cajun,0.538167515
city.Others,0.458702186
city.Scottsdale,0.458534785
cuisine.French,0.457388523
cuisine.AfternoonTea,0.455219608
cuisine.Mediterranean,0.42448138
cuisine.MiddleEastern,0.412164885
cuisine.Vegetarian,0.362390045
cuisine.European,0.353820427
city.Surprise,0.326338448
cuisine.LatinAmerican,0.251669504
city.Phoenix,0.151401701
cuisine.British,0.076094311
city.Gilbert,0.075735663
city.Chandler,0.072850396
cuisine.Vegan,0.038964611
