"city","review_count.x","funny","useful","cool","review_count.y","yelp.votes.funny","yelp.votes.useful","yelp.votes.cool","cuisine","wcount","qmark","emark","stars"
"Others",72,20,54,35,56,0,1,2,"Italian",116,1,0,2
"Others",42,0,0,0,7,0,0,0,"Italian",20,0,1,5
"Others",72,79,128,78,44,0,4,4,"Italian",202,0,4,4
"Others",30,3,4,1,9,0,0,0,"Italian",63,0,0,4
"Others",29,9,45,1,17,0,0,0,"Italian",45,0,0,4
"Others",61,453,974,523,992,0,1,0,"Italian",105,0,1,4
"Others",72,121,264,145,187,0,1,0,"Italian",85,0,2,4
"Others",61,70,243,79,334,0,0,0,"Italian",68,0,0,4
"Others",51,0,0,0,1,0,0,0,"Italian",77,1,2,1
"Others",61,3,29,13,35,0,0,0,"Italian",110,0,1,5
"Others",13,4,24,9,14,0,4,1,"Italian",238,0,1,3
"Others",30,134,300,190,183,1,1,0,"Italian",177,1,0,4
"Others",72,97,123,45,149,0,0,0,"Italian",56,0,7,4
"Others",7,88,183,78,98,0,0,0,"Italian",362,0,0,1
"Others",8,1,1,1,1,1,1,1,"Italian",18,1,0,4
"Others",61,33,66,28,34,1,3,0,"Italian",589,7,2,1
"Others",51,3,32,3,31,0,2,0,"Italian",81,0,0,3
"Others",51,84,112,34,129,0,0,0,"Italian",26,0,0,4
"Others",47,0,3,1,4,0,1,0,"Italian",25,0,0,4
"Others",72,4,67,22,50,0,1,0,"Italian",118,0,2,4
"Others",30,263,428,263,221,0,0,0,"Italian",427,1,9,5
"Others",30,3,6,1,11,0,1,0,"Italian",34,0,0,5
"Others",8,0,3,1,10,0,1,0,"Italian",125,0,0,4
"Others",8,16,68,18,56,0,0,0,"Italian",39,0,0,4
"Others",8,0,0,0,3,0,0,0,"Italian",2,0,0,1
"Others",72,7,31,11,24,0,0,0,"Italian",174,0,0,2
"Others",8,220,393,231,122,0,6,2,"Italian",364,2,4,5
"Others",61,0,1,0,3,0,1,0,"Italian",397,0,2,1
"Others",30,0,0,0,2,0,0,0,"Italian",10,0,1,5
"Others",3,0,1,0,1,0,1,0,"Italian",249,0,0,3
"Others",29,31,54,40,11,1,1,1,"Italian",89,0,0,4
"Others",30,1,16,0,7,0,0,0,"Italian",102,0,2,4
"Others",30,10,45,14,30,0,0,0,"Italian",82,0,0,5
"Others",21,4,8,5,14,0,0,0,"Italian",132,0,0,4
"Others",51,2,8,1,10,0,0,0,"Italian",17,0,0,2
"Others",47,0,4,1,2,0,3,0,"Italian",110,0,0,5
"Others",42,13,36,28,35,0,1,0,"Italian",78,0,0,5
"Others",72,0,0,0,2,0,0,0,"Italian",61,0,5,5
"Others",72,47,219,41,184,0,1,1,"Italian",67,0,0,4
"Others",47,4,6,4,10,0,1,0,"Italian",63,0,1,4
"Others",72,1492,2132,1502,1107,1,1,1,"Italian",59,0,0,2
"Others",51,20,39,28,17,2,4,3,"Italian",184,0,2,5
"Others",42,0,5,3,3,0,1,0,"Italian",128,1,1,1
"Others",42,0,3,0,3,0,0,0,"Italian",65,0,1,5
"Others",13,11,22,8,15,3,5,2,"Italian",455,2,3,1
"Others",42,10,17,12,4,0,0,0,"Italian",246,1,0,2
"Others",29,8,18,6,12,0,2,0,"Italian",168,0,0,4
"Others",47,6,51,12,53,0,1,1,"Italian",68,0,1,5
"Others",42,5,13,8,12,0,0,1,"Italian",73,1,1,5
"Others",42,0,1,0,1,0,1,0,"Italian",7,0,0,5
"Others",30,0,0,0,2,0,0,0,"Italian",18,0,0,5
"Others",61,2,9,4,4,1,2,1,"Italian",255,0,1,4
"Others",8,17,45,18,56,0,0,0,"Italian",14,0,5,4
"Others",47,0,1,0,1,0,1,0,"Italian",55,0,0,1
"Others",30,551,1041,782,412,2,1,2,"Italian",220,0,0,3
"Others",42,1,10,0,26,0,1,0,"Italian",70,0,2,5
"Others",42,1,1,1,5,0,0,0,"Italian",94,3,1,3
"Others",12,15,32,14,36,0,0,0,"Italian",59,0,0,4
"Others",61,87,245,118,425,0,0,0,"Italian",160,0,1,3
"Others",61,376,1098,546,791,0,1,1,"Italian",292,0,1,4
"Others",61,0,0,0,1,0,0,0,"Italian",155,0,5,5
"Others",72,0,17,1,15,0,2,0,"Italian",692,1,1,1
"Others",51,0,1,2,3,0,0,0,"Italian",21,0,5,5
"Others",51,31,153,49,101,0,2,0,"Italian",160,0,0,2
"Others",72,3,43,7,47,0,0,0,"Italian",42,0,2,4
"Others",29,30,127,23,114,0,1,0,"Italian",4,0,0,1
"Others",51,0,1,0,2,0,0,0,"Italian",66,0,6,4
"Others",51,651,1175,740,518,1,4,2,"Italian",122,1,0,4
"Others",8,19,69,16,18,0,1,0,"Italian",106,0,0,4
"Others",61,327,716,493,318,0,4,2,"Italian",335,0,2,3
"Others",12,2,5,2,9,0,1,0,"Italian",46,0,0,5
"Others",61,0,0,0,4,0,0,0,"Italian",43,0,1,5
"Others",61,13,78,27,63,0,1,1,"Italian",144,0,0,4
"Others",72,0,11,3,15,0,1,0,"Italian",131,0,6,4
"Others",42,2,17,5,50,0,0,0,"Italian",37,1,0,5
"Others",72,1,4,1,8,0,0,0,"Italian",28,0,0,4
"Others",21,273,473,275,192,0,0,0,"Italian",187,0,0,4
"Others",42,63,72,36,63,0,0,0,"Italian",63,0,0,4
"Others",39,41,58,14,31,0,0,0,"Japanese",39,0,0,4
"Others",22,1,16,1,12,0,1,0,"Japanese",27,0,0,5
"Others",34,36,110,18,64,0,0,0,"Japanese",35,0,0,1
"Others",26,1,5,2,6,0,0,0,"Japanese",281,0,1,3
"Others",7,84,112,34,129,0,1,0,"Japanese",29,0,0,1
"Others",23,4,27,7,21,0,1,0,"Japanese",217,0,0,1
